species,family,movement_keyword,r_fin,kfin,geog_range,order,class,length,demers_pelag,diet_troph3,iucn_category,homerange,common_name,genus
Megalops cyprinoides,Megalopidae,habitat_coastal,0.219631114,12359.30533,11922500,Elopiformes,Actinopteri,150,benthopelagic,3.48,DD,NA,Indo-Pacific tarpon,Megalops
Mene maculata,Menidae,habitat_reef,0.681372715,161394.3581,6955000,Carangaria/misc,Actinopteri,30,reef-associated,5.96E-04,NA,NA,Moonfish,Mene
Macruronus magellanicus,Merlucciidae,migratory,0.102087029,10114667.53,1657500,NA,NA,NA,NA,NA,NA,NA,NA,NA
Macruronus novaezelandiae,Merlucciidae,deep,0.09872889,10620171.1,2342500,NA,NA,NA,NA,NA,NA,NA,NA,NA
Merluccius albidus,Merlucciidae,pelagic,0.365328316,93.99764124,1745000,Gadiformes,Actinopteri,40.59999847,bathydemersal,3.43,LC,NA,Offshore silver hake,Merluccius
Merluccius australis,Merlucciidae,migratory,0.056425285,2070706.181,1232500,Gadiformes,Actinopteri,155,benthopelagic,7.69E-04,NA,NA,Southern hake,Merluccius
Merluccius bilinearis,Merlucciidae,migratory,0.154190389,1677048.67,925000,Gadiformes,Actinopteri,76,demersal,4.49,NT,NA,Silver hake,Merluccius
Merluccius capensis,Merlucciidae,migratory,0.137980456,11042114.97,535000,Gadiformes,Actinopteri,140,bathydemersal,6.70E-04,LC,NA,Shallow-water Cape hake,Merluccius
Merluccius gayi,Merlucciidae,migratory,0.418,559145.3206,465000,NA,NA,NA,NA,NA,NA,NA,NA,NA
Merluccius hubbsi,Merlucciidae,migratory,0.227029036,12678405.6,1412500,Gadiformes,Actinopteri,95,benthopelagic,7.31E-04,NA,NA,Argentine hake,Merluccius
Merluccius merluccius,Merlucciidae,habitat_deep,0.310269594,1544926.732,2487500,Gadiformes,Actinopteri,140,demersal,4.42,LC,NA,European hake,Merluccius
Merluccius polli,Merlucciidae,habitat_deep,0.234269326,22200.7173,630000,Gadiformes,Actinopteri,80,bathydemersal,7.77E-04,LC,NA,Benguela hake,Merluccius
Merluccius senegalensis,Merlucciidae,migratory,0.196314064,301939.4071,47500,Gadiformes,Actinopteri,81,demersal,7.77E-04,EN,NA,Senegalese hake,Merluccius
Stephanolepis cirrhifer,Monacanthidae,habitat_coastal,0.842910887,270394.69,242500,Tetraodontiformes,Actinopteri,30,demersal,4.91E-04,LC,NA,Threadsail filefish,Stephanolepis
Antimora rostrata,Moridae,deep,0.11723796,486.5318366,222710000,Gadiformes,Actinopteri,75,bathypelagic,6.18E-04,LC,NA,Blue antimora,Antimora
Mora moro,Moridae,deep,0.146467431,10677.45905,56435000,Gadiformes,Actinopteri,80,bathypelagic,6.48E-04,LC,NA,Common mora,Mora
Pseudophycis bachus,Moridae,habitat_benthic,0.201482529,135606.815,1075000,Gadiformes,Actinopteri,90,demersal,3.93,NA,NA,Red codling,Pseudophycis
Salilota australis,Moridae,deep,0.246865935,96078.23777,1077500,Gadiformes,Actinopteri,50,demersal,4.41,NA,NA,Tadpole codling,Salilota
Dicentrarchus punctatus,Moronidae,habitat_coastal,0.492643838,1535.080603,1585000,Eupercaria/misc,Actinopteri,70,pelagic-neritic,6.81E-04,LC,NA,Spotted seabass,Dicentrarchus
Joturus pichardi,Mugilidae,habitat_coastal,0.636414723,2036.175397,587500,Mugiliformes,Actinopteri,61,pelagic-neritic,5.03E-04,NA,NA,Bobo mullet,Joturus
Liza aurata,Mugilidae,habitat_coastal,0.460574466,1.120340007,2092500,NA,NA,NA,NA,NA,NA,NA,NA,NA
Liza klunzingeri,Mugilidae,habitat_coastal,0.490272764,7295.383848,580000,NA,NA,NA,NA,NA,NA,NA,NA,NA
Liza saliens,Mugilidae,habitat_coastal,0.49806001,44.40428774,1445000,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mugil cephalus,Mugilidae,habitat_coastal,0.277257899,1218548.744,15862500,Mugiliformes,Actinopteri,100,benthopelagic,4.28E-04,LC,NA,Flathead grey mullet,Mugil
Mugil curema,Mugilidae,habitat_coastal,0.519755415,5777.702193,5337500,Mugiliformes,Actinopteri,91,reef-associated,2.01,LC,NA,White mullet,Mugil
Mugil liza,Mugilidae,migratory,0.477722143,12098.99119,2622500,Mugiliformes,Actinopteri,80,demersal,3.45E-04,DD,NA,Lebranche mullet,Mugil
Mullus argentinae,Mullidae,habitat_benthic,0.776864557,600.969623,310000,Mulliformes,Actinopteri,30,demersal,5.96E-04,NA,NA,Argentine goatfish,Mullus
Mullus barbatus,Mullidae,habitat_benthic,0.68,23271.86826,727500,Mulliformes,Actinopteri,38.20000076,demersal,3.14,NA,NA,Red mullet,Mullus
Pseudupeneus prayensis,Mullidae,habitat_benthic,0.897245891,12069.8998,652500,Mulliformes,Actinopteri,55,demersal,5.60E-04,VU,NA,West African goatfish,Pseudupeneus
Cynoponticus coniceps,Muraenesocidae,sedentary,0.409229387,41.31668095,565000,Anguilliformes,Actinopteri,202,demersal,6.96E-04,DD,NA,Red pike conger,Cynoponticus
Muraenesox cinereus,Muraenesocidae,sedentary,0.409229387,4874752.99,6977500,Anguilliformes,Actinopteri,220,demersal,7.57E-04,NA,NA,Daggertooth pike conger,Muraenesox
Muraena helena,Muraenidae,territorial,0.189417697,308.7145556,2262500,NA,NA,NA,NA,NA,NA,NA,NA,NA
Myliobatis aquila,Myliobatidae,habitat_coastal,0.237547455,616.7862343,3377500,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mytilus coruscus,Mytilidae,sedentary,0.49,24271.54286,527500,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mytilus edulis,Mytilidae,sedentary,0.54,459791.0519,6252500,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mytilus galloprovincialis,Mytilidae,sedentary,0.5,33613.84,5317500,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eptatretus cirrhatus,Myxinidae,habitat_benthic,0.14925158,1765.180643,1312500,NA,NA,97,bathydemersal,8.64E-04,LC,NA,Broadgilled hagfish,Eptatretus
Eptatretus cirrhatus,Myxinidae,habitat_benthic,0.14925158,1765.180643,1312500,Myxiniformes,Myxini,97,bathydemersal,8.64E-04,LC,NA,Broadgilled hagfish,Eptatretus
Nemipterus japonicus,Nemipteridae,habitat_benthic,1.261848147,31278.90158,7565000,Eupercaria/misc,Actinopteri,32,demersal,7.12E-04,NA,NA,Japanese threadfin bream,Nemipterus
Nemipterus virgatus,Nemipteridae,habitat_benthic,0.957144758,22906.75869,5732500,Eupercaria/misc,Actinopteri,35,demersal,6.89E-04,VU,NA,Golden threadfin bream,Nemipterus
Scolopsis taeniata,Nemipteridae,habitat_reef,1.10849102,1097.347636,1430000,Eupercaria/misc,Actinopteri,36,reef-associated,3.48,NA,NA,Black-streaked monocle bream,Scolopsis
Homarus americanus,Nephropidae,habitat_benthic,0.57,259436.197,390000,NA,NA,NA,NA,NA,NA,NA,NA,NA
Homarus gammarus,Nephropidae,territorial,0.37,26229.80541,1345000,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nephrops norvegicus,Nephropidae,sedentary,0.52,257939.1059,1705000,NA,NA,NA,NA,NA,NA,NA,NA,NA
Normanichthys crockeri,Normanichthyidae,habitat_coastal,0.459478193,260047.4754,267500,Perciformes/Scorpaenoidei,Actinopteri,11,demersal,4.75E-04,NA,NA,Mote sculpin,Normanichthys
Dissostichus eleginoides,Nototheniidae,deep,0.107371089,447134.1062,6025000,Perciformes/Notothenioidei,Actinopteri,215,pelagic-oceanic,4.49,NA,NA,Patagonian toothfish,Dissostichus
Patagonotothen ramsayi,Nototheniidae,deep,0.471420356,443616.7456,1027500,Perciformes/Notothenioidei,Actinopteri,44,benthopelagic,6.03E-04,NA,NA,Longtail southern cod,Patagonotothen
Octopus maya,Octopodidae,habitat_coastal,0.65,106714.8862,277500,NA,NA,NA,NA,NA,NA,NA,NA,NA
Octopus vulgaris,Octopodidae,habitat_reef,0.81,449148.4622,21065000,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dosidicus gigas,Ommastrephidae,pelagic,1.19,2926095.6,1287500,NA,NA,NA,NA,NA,NA,NA,NA,NA
Illex argentinus,Ommastrephidae,pelagic,1,2172409.576,767500,NA,NA,NA,NA,NA,NA,NA,NA,NA
Illex coindetii,Ommastrephidae,migratory,0.52,52425.83846,7900000,NA,NA,NA,NA,NA,NA,NA,NA,NA
Illex illecebrosus,Ommastrephidae,pelagic,0.76,225529.2623,2527500,NA,NA,NA,NA,NA,NA,NA,NA,NA
Todarodes pacificus,Ommastrephidae,pelagic,1.12,1988759.479,1220000,NA,NA,NA,NA,NA,NA,NA,NA,NA
Todarodes sagittatus,Ommastrephidae,migratory,0.38,74281.03158,4517500,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brotula barbata,Ophidiidae,habitat_benthic,0.276427346,22829.30435,3760000,Ophidiiformes,Actinopteri,94,reef-associated,3.67,LC,NA,Bearded brotula,Brotula
Genypterus blacodes,Ophidiidae,habitat_benthic,0.130878043,1888496.335,2330000,Ophidiiformes,Actinopteri,200,bathydemersal,7.22E-04,NA,NA,Pink cusk-eel,Genypterus
