species,family,movement_keyword,r_fin,kfin,geog_range,order,class,length,demers_pelag,diet_troph3,iucn_category,homerange,common_name,genus
Psettichthys melanostictus,Pleuronectidae,habitat_benthic,0.306059045,363.812153,1187500,Pleuronectiformes,Actinopteri,63,demersal,7.01E-04,NA,NA,Pacific sand sole,Psettichthys
Reinhardtius hippoglossoides,Pleuronectidae,habitat_benthic,0.171591636,1708262.693,4170000,Pleuronectiformes,Actinopteri,110,benthopelagic,4.38,NA,NA,Greenland halibut,Reinhardtius
Eleutheronema tetradactylum,Polynemidae,habitat_coastal,0.643974845,41062.71573,8010000,Carangaria/misc,Actinopteri,200,pelagic-neritic,4.06,NA,NA,Fourfinger threadfin,Eleutheronema
Galeoides decadactylus,Polynemidae,habitat_coastal,0.509571815,78024.89662,197500,Carangaria/misc,Actinopteri,50,demersal,6.17E-04,NT,NA,Lesser African threadfin,Galeoides
Pentanemus quinquarius,Polynemidae,habitat_coastal,0.687012387,16110.92931,650000,Carangaria/misc,Actinopteri,35,demersal,6.15E-04,VU,NA,Royal threadfin,Pentanemus
Polydactylus quadrifilis,Polynemidae,habitat_coastal,0.564120399,167966.2074,507500,Carangaria/misc,Actinopteri,200,demersal,6.93E-04,LC,NA,Giant African threadfin,Polydactylus
Polyprion americanus,Polyprionidae,habitat_benthic,0.097063333,19181.41426,7452500,Acropomatiformes,Actinopteri,210,demersal,7.15E-04,DD,NA,Wreckfish,Polyprion
Stereolepis gigas,Polyprionidae,habitat_benthic,0.278444226,33.70154285,632500,Acropomatiformes,Actinopteri,250,demersal,7.77E-04,CR,NA,Giant seabass,Stereolepis
Pomacanthus maculosus,Pomacanthidae,habitat_reef,0.204546984,1194.620401,1652500,Acanthuriformes,Actinopteri,50,reef-associated,4.61E-04,LC,NA,Yellowbar angelfish,Pomacanthus
Pomatomus saltatrix,Pomatomidae,migratory,0.524709109,250538.4751,137852500,Scombriformes,Actinopteri,130,pelagic-oceanic,4.53,VU,NA,Bluefish,Pomatomus
Callinectes danae,Portunidae,habitat_coastal,0.6,16856.30667,3140000,NA,NA,NA,NA,NA,NA,NA,NA,NA
Callinectes sapidus,Portunidae,habitat_coastal,0.6,550804.78,3357500,NA,NA,NA,NA,NA,NA,NA,NA,NA
Portunus pelagicus,Portunidae,habitat_coastal,1.19,329510.5345,5862500,NA,NA,NA,NA,NA,NA,NA,NA,NA
Portunus trituberculatus,Portunidae,migratory,1.19,2042910.776,9145000,NA,NA,NA,NA,NA,NA,NA,NA,NA
Scylla serrata,Portunidae,habitat_coastal,1.17,116479.1419,10187500,NA,NA,NA,NA,NA,NA,NA,NA,NA
Priacanthus macracanthus,Priacanthidae,habitat_reef,0.900748536,38524.31461,9322500,Eupercaria/misc,Actinopteri,30,reef-associated,7.10E-04,LC,NA,Red bigeye,Priacanthus
Ilisha africana,Pristigasteridae,habitat_coastal,1.109770194,77979.82003,425000,Clupeiformes,Actinopteri,30,pelagic-neritic,3.59,LC,NA,West African ilisha,Ilisha
Ilisha elongata,Pristigasteridae,habitat_coastal,0.97400234,596680.1311,2587500,Clupeiformes,Actinopteri,60,pelagic-neritic,6.55E-04,LC,NA,Elongate ilisha,Ilisha
Pellona ditchela,Pristigasteridae,pelagic,0.7640441,132535.3026,8327500,Clupeiformes,Actinopteri,16,pelagic,NA,LC,NA,Indian pellona,Pellona
Psettodes erumei,Psettodidae,habitat_benthic,0.855080405,81476.7449,3950000,Pleuronectiformes,Actinopteri,64,demersal,4.39,NA,NA,Indian halibut,Psettodes
Rachycentron canadum,Rachycentridae,hms,0.44388526,58777.77515,15987500,Carangiformes,Actinopteri,200,reef-associated,3.96,LC,NA,Cobia,Rachycentron
Dipturus innominatus,Rajidae,habitat_benthic,0.077021002,50787.08256,1292500,Rajiformes,Elasmobranchii,240,demersal,3.506666667,LC,NA,New Zealand smooth skate,Dipturus
Raja clavata,Rajidae,habitat_benthic,0.065701067,91506.30415,3877500,Rajiformes,Elasmobranchii,105,demersal,3.84,NT,NA,Thornback ray,Raja
Raja rhina,Rajidae,habitat_benthic,0.068133028,62364.83059,802500,NA,NA,NA,NA,NA,NA,NA,NA,NA
Zearaja chilensis,Rajidae,habitat_benthic,0.036855308,31790.916,1670000,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rhinobatos planiceps,Rhinobatidae,habitat_benthic,0.21260769,15941.09788,517500,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rhynchobatus australiae,Rhinobatidae,habitat_benthic,0.204810937,20942.80736,7867500,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rhynchobatus djiddensis,Rhinobatidae,habitat_benthic,0.204810937,834.7991685,2387500,NA,NA,NA,NA,NA,NA,NA,NA,NA
Oncorhynchus gorbuscha,Salmonidae,migratory,0.491520221,5986072.754,3357500,Salmoniformes,Actinopteri,76,demersal,4.49,NA,NA,Pink salmon,Oncorhynchus
Oncorhynchus keta,Salmonidae,migratory,0.332235885,1232214.468,2395000,Salmoniformes,Actinopteri,100,benthopelagic,3.74,NA,NA,Chum salmon,Oncorhynchus
Oncorhynchus kisutch,Salmonidae,migratory,0.52822829,180864.232,2657500,Salmoniformes,Actinopteri,107.9499969,pelagic,7.22E-04,NA,NA,Coho salmon,Oncorhynchus
Oncorhynchus masou,Salmonidae,migratory,0.488,11650.48361,1050000,Salmoniformes,Actinopteri,79,benthopelagic,6.22E-04,NA,NA,Masu salmon,Oncorhynchus
Oncorhynchus nerka,Salmonidae,migratory,0.343342144,1750038.608,1905000,Salmoniformes,Actinopteri,84,pelagic-oceanic,3.54,LC,NA,Sockeye salmon,Oncorhynchus
Oncorhynchus tshawytscha,Salmonidae,migratory,0.491520221,78870.36652,2962500,Salmoniformes,Actinopteri,150,benthopelagic,4.4,NA,NA,Chinook salmon,Oncorhynchus
Salmo salar,Salmonidae,migratory,0.729628165,9019.125512,3572500,Salmoniformes,Actinopteri,150,benthopelagic,4.5,LC,NA,Atlantic salmon,Salmo
Salmo trutta,Salmonidae,migratory,0.745858627,4797.810026,1677500,Salmoniformes,Actinopteri,140,pelagic-neritic,3.36,LC,55,Sea trout,Salmo
Salmo trutta,Salmonidae,migratory,0.745858627,4797.810026,1677500,Salmoniformes,Actinopteri,140,pelagic-neritic,3.36,LC,87.5,Sea trout,Salmo
Salvelinus alpinus,Salmonidae,migratory,0.2,1393.2,5825000,Salmoniformes,Actinopteri,107,benthopelagic,4.39,NA,NA,Arctic char,Salvelinus
Scarus persicus,Scaridae,habitat_reef,0.619733236,725.8477905,662500,Eupercaria/misc,Actinopteri,50,benthopelagic,2.003846154,LC,NA,Gulf parrotfish,Scarus
Sparisoma cretense,Scaridae,habitat_coastal,0.485599221,2093.718353,1422500,Eupercaria/misc,Actinopteri,50,reef-associated,4.94E-04,LC,4.48E-05,Parrotfish,Sparisoma
Sparisoma cretense,Scaridae,habitat_coastal,0.485599221,2093.718353,1422500,Eupercaria/misc,Actinopteri,50,reef-associated,4.94E-04,LC,0.038908,Parrotfish,Sparisoma
Sparisoma cretense,Scaridae,habitat_coastal,0.485599221,2093.718353,1422500,Eupercaria/misc,Actinopteri,50,reef-associated,4.94E-04,LC,0.041983,Parrotfish,Sparisoma
Argyrosomus hololepidotus,Sciaenidae,habitat_coastal,0.227953054,81983.30163,347500,Eupercaria/misc,Actinopteri,200,demersal,4.48,EN,NA,Southern meagre,Argyrosomus
Argyrosomus regius,Sciaenidae,migratory,0.149075294,35019.83379,1400000,Eupercaria/misc,Actinopteri,230,benthopelagic,7.41E-04,LC,NA,Meagre,Argyrosomus
Atractoscion aequidens,Sciaenidae,habitat_coastal,0.311853212,2288.230401,4040000,Eupercaria/misc,Actinopteri,130,benthopelagic,7.77E-04,VU,NA,Geelbeck croaker,Atractoscion
Atractoscion nobilis,Sciaenidae,habitat_coastal,0.296616436,1870.644824,522500,Eupercaria/misc,Actinopteri,166,demersal,7.50E-04,LC,NA,White weakfish,Atractoscion
Atrobucca nibe,Sciaenidae,habitat_coastal,0.460821512,25016.42764,9827500,Eupercaria/misc,Actinopteri,45,demersal,6.84E-04,NA,NA,Blackmouth croaker,Atrobucca
Cilus gilberti,Sciaenidae,habitat_benthic,0.624615121,39818.27394,285000,Eupercaria/misc,Actinopteri,92,demersal,6.77E-04,DD,NA,Corvina drum,Cilus
Cynoscion acoupa,Sciaenidae,habitat_coastal,0.392131823,78789.14733,1062500,Eupercaria/misc,Actinopteri,110,demersal,7.00E-04,LC,NA,Acoupa weakfish,Cynoscion
Cynoscion analis,Sciaenidae,habitat_coastal,0.551630808,24108.18213,12500,Eupercaria/misc,Actinopteri,47,demersal,4.06,LC,NA,Peruvian weakfish,Cynoscion
Cynoscion arenarius,Sciaenidae,habitat_coastal,0.789800407,1093.045778,737500,Eupercaria/misc,Actinopteri,63.5,demersal,4.17,LC,NA,Sand weakfish,Cynoscion
Cynoscion guatucupa,Sciaenidae,habitat_coastal,0.546839108,12600.54722,497500,Eupercaria/misc,Actinopteri,50,benthopelagic,6.43E-04,NA,NA,Stripped weakfish,Cynoscion
Cynoscion jamaicensis,Sciaenidae,habitat_coastal,0.661378058,16743.59145,1850000,Eupercaria/misc,Actinopteri,50,demersal,6.63E-04,LC,NA,Jamaica weakfish,Cynoscion
Cynoscion leiarchus,Sciaenidae,habitat_coastal,0.646582686,3205.040971,1052500,Eupercaria/misc,Actinopteri,90.80000305,demersal,5.29E-04,LC,NA,Smooth weakfish,Cynoscion
Cynoscion regalis,Sciaenidae,habitat_coastal,0.331251585,78654.71789,320000,Eupercaria/misc,Actinopteri,98,demersal,3.77,NA,NA,Squeteague,Cynoscion
Cynoscion striatus,Sciaenidae,habitat_reef,0.561883634,93747.47506,580000,Eupercaria/misc,Actinopteri,60,demersal,3.9,NA,NA,Striped weakfish,Cynoscion
Cynoscion virescens,Sciaenidae,habitat_coastal,0.561883634,1443.494614,722500,Eupercaria/misc,Actinopteri,115,demersal,6.96E-04,LC,NA,Green weakfish,Cynoscion
Genyonemus lineatus,Sciaenidae,habitat_benthic,0.624615121,822.3303962,135000,Eupercaria/misc,Actinopteri,41,benthopelagic,5.92E-04,NT,NA,White croaker,Genyonemus
Isopisthus parvipinnis,Sciaenidae,habitat_coastal,0.624615121,217.5803874,742500,Eupercaria/misc,Actinopteri,41.5,demersal,4.04,LC,NA,Bigtooth corvina,Isopisthus
Larimichthys polyactis,Sciaenidae,habitat_coastal,0.546792217,3116786.623,982500,Eupercaria/misc,Actinopteri,40,benthopelagic,3.72,NA,NA,Yellow croaker,Larimichthys
Larimus breviceps,Sciaenidae,habitat_coastal,0.716833218,1092.689317,1682500,Eupercaria/misc,Actinopteri,31,demersal,3.52,LC,NA,Shorthead drum,Larimus
Leiostomus xanthurus,Sciaenidae,habitat_coastal,0.766431999,17575.357,980000,Eupercaria/misc,Actinopteri,36,demersal,3.23,LC,NA,Spot croaker,Leiostomus
Macrodon ancylodon,Sciaenidae,habitat_coastal,0.61741782,49574.92161,1177500,Eupercaria/misc,Actinopteri,45,demersal,6.74E-04,LC,NA,King weakfish,Macrodon
Menticirrhus littoralis,Sciaenidae,habitat_coastal,0.552421971,7736.086232,2402500,Eupercaria/misc,Actinopteri,48.29999924,demersal,3.92,LC,NA,Gulf kingcroaker,Menticirrhus
Menticirrhus saxatilis,Sciaenidae,habitat_coastal,0.497880502,390.503342,1627500,Eupercaria/misc,Actinopteri,46,demersal,3.56,LC,NA,Northern kingfish,Menticirrhus
Micropogonias furnieri,Sciaenidae,habitat_coastal,0.541310594,227203.5195,2195000,Eupercaria/misc,Actinopteri,60,demersal,3.09,LC,NA,Whitemouth croaker,Micropogonias
Micropogonias undulatus,Sciaenidae,habitat_coastal,0.873782776,89165.34195,2317500,Eupercaria/misc,Actinopteri,55,demersal,6.91E-04,LC,NA,Atlantic croaker,Micropogonias
Miichthys miiuy,Sciaenidae,habitat_coastal,0.562138124,254347.1254,870000,Eupercaria/misc,Actinopteri,70,demersal,6.05E-04,NA,NA,Mi-iuy croaker,Miichthys
Otolithes ruber,Sciaenidae,habitat_coastal,0.865438668,75651.61394,8637500,Eupercaria/misc,Actinopteri,90,benthopelagic,3.6,NA,NA,Tigertooth croaker,Otolithes
Paralonchurus peruanus,Sciaenidae,habitat_coastal,0.624615121,21622.18548,150000,Eupercaria/misc,Actinopteri,51,demersal,2.17,LC,NA,Peruvian banded croaker,Paralonchurus
Pennahia anea,Sciaenidae,habitat_coastal,1.31363675,22525.35337,4990000,Eupercaria/misc,Actinopteri,30,demersal,6.89E-04,NA,NA,Donkey croaker,Pennahia
Pennahia argentata,Sciaenidae,habitat_coastal,0.804667561,27970.05508,1032500,Eupercaria/misc,Actinopteri,40,benthopelagic,4.06,NA,NA,Silver croaker,Pennahia
Pogonias cromis,Sciaenidae,habitat_coastal,0.18652475,52814.07433,1915000,Eupercaria/misc,Actinopteri,170,demersal,3.38,LC,NA,Black drum,Pogonias
Pseudotolithus elongatus,Sciaenidae,habitat_coastal,0.262800508,203446.1344,320000,Eupercaria/misc,Actinopteri,47,demersal,7.01E-04,LC,NA,Bobo croaker,Pseudotolithus
Pseudotolithus senegalensis,Sciaenidae,habitat_coastal,0.4770747,34442.69003,542500,Eupercaria/misc,Actinopteri,114,demersal,6.55E-04,EN,NA,Cassava croaker,Pseudotolithus
Pseudotolithus senegallus,Sciaenidae,habitat_coastal,0.453895734,8299.897352,590000,Eupercaria/misc,Actinopteri,230,demersal,6.72E-04,VU,NA,Law croaker,Pseudotolithus
Pteroscion peli,Sciaenidae,habitat_benthic,0.624615121,7736.777156,585000,Eupercaria/misc,Actinopteri,32,benthopelagic,6.15E-04,LC,NA,Boe drum,Pteroscion
Umbrina canariensis,Sciaenidae,habitat_benthic,0.378795976,11581.93929,2567500,Eupercaria/misc,Actinopteri,80,demersal,5.82E-04,LC,NA,Canary drum,Umbrina
Umbrina canosai,Sciaenidae,habitat_benthic,0.680525062,56568.85569,347500,Eupercaria/misc,Actinopteri,40,demersal,6.65E-04,NA,NA,Argentine croaker,Umbrina
Umbrina cirrosa,Sciaenidae,habitat_reef,0.434111271,3945.84549,1472500,Eupercaria/misc,Actinopteri,73,demersal,5.89E-04,NA,NA,Shi drum,Umbrina
Cololabis saira,Scomberesocidae,pelagic,0.461247094,2474804.226,10187500,Beloniformes,Actinopteri,40,pelagic-oceanic,6.41E-04,NA,NA,Pacific saury,Cololabis
Scomberesox saurus,Scomberesocidae,pelagic,0.634268623,15045.82704,23045000,Beloniformes,Actinopteri,50,pelagic-oceanic,3.91,NA,NA,Atlantic saury,Scomberesox
Acanthocybium solandri,Scombridae,pelagic,0.522684226,23280.69491,193442500,Scombriformes,Actinopteri,250,pelagic-oceanic,4.26,LC,NA,Wahoo,Acanthocybium
Allothunnus fallai,Scombridae,pelagic,0.596518223,451.3659255,48347500,Scombriformes,Actinopteri,105,pelagic-oceanic,3.7,LC,NA,Slender tuna,Allothunnus
Euthynnus affinis,Scombridae,pelagic,0.630833414,2460508.938,14720000,Scombriformes,Actinopteri,100,pelagic-neritic,4.5,LC,NA,Kawakawa,Euthynnus
Euthynnus lineatus,Scombridae,pelagic,0.516132309,15997.52595,477500,Scombriformes,Actinopteri,84,pelagic-oceanic,6.62E-04,LC,NA,Black skipjack,Euthynnus
Gasterochisma melampus,Scombridae,deep,0.596518223,20.80741126,63335000,Scombriformes,Actinopteri,164,pelagic-oceanic,7.51E-04,LC,NA,Butterfly kingfish,Gasterochisma
Gymnosarda unicolor,Scombridae,pelagic,0.596518223,2718.783662,12880000,Scombriformes,Actinopteri,247.9799957,reef-associated,7.77E-04,LC,NA,Dogtooth tuna,Gymnosarda
Orcynopsis unicolor,Scombridae,hms,0.596518223,3446.15792,2472500,Scombriformes,Actinopteri,130,pelagic-neritic,7.77E-04,LC,NA,Plain bonito,Orcynopsis
Rastrelliger brachysoma,Scombridae,pelagic,1.171892667,924370.2657,8362500,Scombriformes,Actinopteri,34.5,pelagic-neritic,4.70E-04,DD,NA,Short mackerel,Rastrelliger
Rastrelliger kanagurta,Scombridae,pelagic,1.130434227,875025.7028,9025000,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sarda chiliensis,Scombridae,pelagic,0.474168676,271116.5089,307500,Scombriformes,Actinopteri,102,pelagic-neritic,4.49,NA,NA,Eastern Pacific bonito,Sarda
Sarda orientalis,Scombridae,pelagic,0.340909222,4837.017878,14075000,Scombriformes,Actinopteri,102,pelagic-neritic,7.27E-04,LC,NA,Striped bonito,Sarda
Sarda sarda,Scombridae,hms,0.703009387,139718.1571,6197500,Scombriformes,Actinopteri,91.40000153,pelagic-neritic,4.5,LC,NA,Atlantic bonito,Sarda
Scomber australasicus,Scombridae,hms,0.571448731,1697845.884,6165000,Scombriformes,Actinopteri,44,pelagic-neritic,4.23,LC,NA,Blue mackerel,Scomber
Scomberomorus brasiliensis,Scombridae,habitat_coastal,0.494621434,43179.64922,1760000,Scombriformes,Actinopteri,125,reef-associated,3.31,LC,NA,Serra Spanish mackerel,Scomberomorus
Scomberomorus commerson,Scombridae,hms,0.543282813,2482310.546,11710000,Scombriformes,Actinopteri,240,pelagic-neritic,4.5,NT,NA,Narrow-barred Spanish mackerel,Scomberomorus
Scomberomorus guttatus,Scombridae,hms,0.500310594,326872.9664,6332500,Scombriformes,Actinopteri,76,pelagic-neritic,7.39E-04,DD,NA,Indo-Pacific king mackerel,Scomberomorus
Scomberomorus lineolatus,Scombridae,pelagic,0.297890582,1908.835101,3632500,Scombriformes,Actinopteri,94,pelagic-neritic,7.77E-04,LC,NA,Streaked seerfish,Scomberomorus
Scomberomorus niphonius,Scombridae,hms,0.525702802,484476.8317,1432500,Scombriformes,Actinopteri,113.1999969,pelagic-neritic,4.5,DD,NA,Japanese Spanish mackerel,Scomberomorus
Scomberomorus regalis,Scombridae,pelagic,0.602525476,2229.38955,2657500,Scombriformes,Actinopteri,183,reef-associated,4.51,LC,NA,Cero,Scomberomorus
Scomberomorus sierra,Scombridae,pelagic,0.625514345,48802.96067,742500,Scombriformes,Actinopteri,99,pelagic-neritic,4.49,LC,NA,Pacific sierra,Scomberomorus
Scomberomorus tritor,Scombridae,pelagic,1.01040211,12151.3325,567500,Scombriformes,Actinopteri,100,pelagic-neritic,4.42,LC,NA,West African Spanish mackerel,Scomberomorus
Thunnus alalunga,Scombridae,hms,0.139377132,10474612.34,214395000,Scombriformes,Actinopteri,140,pelagic-oceanic,4.3,NT,NA,Albacore,Thunnus
Thunnus atlanticus,Scombridae,hms,0.411464956,21204.61504,17285000,Scombriformes,Actinopteri,107.9499969,pelagic-oceanic,4.35,LC,NA,Blackfin tuna,Thunnus
Thunnus obesus,Scombridae,pelagic,0.236346256,15137950.72,492747500,Scombriformes,Actinopteri,250,pelagic-oceanic,4.49,VU,NA,Bigeye tuna,Thunnus
Thunnus orientalis,Scombridae,hms,0.191806337,361719.0179,137085000,Scombriformes,Actinopteri,300,pelagic-oceanic,4.416666667,VU,91382,Pacific bluefin tuna,Thunnus
Thunnus tonggol,Scombridae,pelagic,0.221774814,4937248.325,13385000,Scombriformes,Actinopteri,144.9830017,pelagic-neritic,4.5,DD,NA,Longtail tuna,Thunnus
Lepidorhombus boscii,Scophthalmidae,habitat_benthic,0.512571372,10315.36345,1817500,Pleuronectiformes,Actinopteri,40,demersal,3.74,NA,NA,Four-spot megrim,Lepidorhombus
Lepidorhombus whiffiagonis,Scophthalmidae,habitat_benthic,0.443300965,3987.286609,1412500,Pleuronectiformes,Actinopteri,60,bathydemersal,4.34,NA,NA,Megrim,Lepidorhombus
Scophthalmus aquosus,Scophthalmidae,habitat_benthic,0.591988437,8428.643554,307500,Pleuronectiformes,Actinopteri,45.70000076,demersal,3.72,NA,NA,Windowpane flounder,Scophthalmus
Scophthalmus rhombus,Scophthalmidae,habitat_benthic,0.83735981,9133.32108,2545000,Pleuronectiformes,Actinopteri,75,demersal,4.42,NA,NA,Brill,Scophthalmus
Pontinus kuhlii,Scorpaenidae,habitat_deep,0.281780151,1536.758348,1472500,Perciformes/Scorpaenoidei,Actinopteri,52,bathydemersal,7.00E-04,DD,NA,Offshore rockfish,Pontinus
Cephaloscyllium isabellum,Scyliorhinidae,habitat_reef,0.188359255,3727.302912,840000,NA,NA,NA,NA,NA,NA,NA,NA,NA
Scyliorhinus stellaris,Scyliorhinidae,habitat_benthic,0.165279858,4570.817084,3130000,Carcharhiniformes,Elasmobranchii,170,reef-associated,4.03,NT,NA,Nursehound,Scyliorhinus
Helicolenus dactylopterus,Sebastidae,habitat_benthic,0.149321292,118996.2652,11510000,Perciformes/Scorpaenoidei,Actinopteri,50,bathydemersal,3.54,LC,NA,Blackbelly rosefish,Helicolenus
Sebastes aleutianus,Sebastidae,habitat_benthic,0.038306076,192666.7885,1802500,Perciformes/Scorpaenoidei,Actinopteri,97,bathydemersal,3.52,NA,NA,Rougheye rockfish,Sebastes
Sebastes alutus,Sebastidae,habitat_benthic,0.0482791,3931567.863,1702500,Perciformes/Scorpaenoidei,Actinopteri,53,bathydemersal,3.48,NA,NA,Pacific ocean perch,Sebastes
Sebastes carnatus,Sebastidae,territorial,0.085905332,4702.851269,112500,Perciformes/Scorpaenoidei,Actinopteri,39,demersal,6.25E-04,NA,NA,Gopher rockfish,Sebastes
Sebastes chlorostictus,Sebastidae,habitat_benthic,0.085905332,5340.762778,172500,Perciformes/Scorpaenoidei,Actinopteri,50,demersal,3.764736842,NA,NA,Greenspotted rockfish,Sebastes
Sebastes diploproa,Sebastidae,habitat_benthic,0.085905332,59041.73673,647500,Perciformes/Scorpaenoidei,Actinopteri,46,bathydemersal,3.764736842,NA,NA,Splitnose rockfish,Sebastes
Sebastes elongatus,Sebastidae,habitat_benthic,0.092092131,34878.11552,492500,Perciformes/Scorpaenoidei,Actinopteri,39,demersal,3.764736842,NA,NA,Greenstriped rockfish,Sebastes
Sebastes entomelas,Sebastidae,habitat_reef,0.085905332,255744.4045,927500,Perciformes/Scorpaenoidei,Actinopteri,60,pelagic-neritic,3.7,NA,NA,Widow rockfish,Sebastes
Sebastes flavidus,Sebastidae,habitat_reef,0.058523207,319873.1042,622500,Perciformes/Scorpaenoidei,Actinopteri,66,reef-associated,4.15,NA,NA,Yellowtail rockfish,Sebastes
Sebastes goodei,Sebastidae,habitat_reef,0.093050773,93024.48232,185000,Perciformes/Scorpaenoidei,Actinopteri,56,demersal,5.98E-04,NA,NA,Chilipepper rockfish,Sebastes
Sebastes jordani,Sebastidae,habitat_benthic,0.096107777,78677.2958,340000,Perciformes/Scorpaenoidei,Actinopteri,32,demersal,5.53E-04,NA,NA,Shortbelly rockfish,Sebastes
Sebastes melanops,Sebastidae,habitat_reef,0.085048452,83361.32064,1035000,Perciformes/Scorpaenoidei,Actinopteri,63,reef-associated,4.38,NA,0.25,Black rockfish,Sebastes
Sebastes melanostomus,Sebastidae,habitat_deep,0.057457149,15454.99584,207500,Perciformes/Scorpaenoidei,Actinopteri,61,bathydemersal,3.764736842,NA,NA,Blackgill rockfish,Sebastes
Sebastes mystinus,Sebastidae,habitat_reef,0.103740039,10603.42768,680000,Perciformes/Scorpaenoidei,Actinopteri,61,reef-associated,2.71,NA,0.008783,Blue rockfish,Sebastes
Sebastes mystinus,Sebastidae,habitat_reef,0.103740039,10603.42768,680000,Perciformes/Scorpaenoidei,Actinopteri,61,reef-associated,2.71,NA,0.036716,Blue rockfish,Sebastes
Sebastes paucispinis,Sebastidae,habitat_reef,0.106073465,38322.61562,732500,Perciformes/Scorpaenoidei,Actinopteri,91,reef-associated,6.06E-04,NA,NA,Bocaccio rockfish,Sebastes
Sebastes pinniger,Sebastidae,habitat_reef,0.038909064,155931.9959,487500,Perciformes/Scorpaenoidei,Actinopteri,76,demersal,6.56E-04,NA,NA,Canary rockfish,Sebastes
Sebastes polyspinis,Sebastidae,habitat_benthic,0.050194328,1036722.382,1407500,Perciformes/Scorpaenoidei,Actinopteri,41,demersal,3.42,NA,NA,Northern rockfish,Sebastes
Sebastes ruberrimus,Sebastidae,habitat_reef,0.035907951,6796.964066,820000,Perciformes/Scorpaenoidei,Actinopteri,104,reef-associated,4.43,NA,NA,Yelloweye rockfish,Sebastes
Sebastes rufus,Sebastidae,habitat_benthic,0.085905332,28652.51714,112500,Perciformes/Scorpaenoidei,Actinopteri,54,demersal,3.764736842,NA,NA,Bank rockfish,Sebastes
Sebastes variabilis,Sebastidae,habitat_benthic,0.083414729,132365.2559,2635000,Perciformes/Scorpaenoidei,Actinopteri,43.08000183,demersal,3.764736842,NA,NA,Light dusky rockfish,Sebastes
Sebastolobus alascanus,Sebastidae,habitat_benthic,0.053976428,127463.0464,2282500,Perciformes/Scorpaenoidei,Actinopteri,80,demersal,3.62,EN,NA,Shortspine thornyhead,Sebastolobus
Sebastolobus altivelis,Sebastidae,habitat_deep,0.094545411,106996.2033,1000000,Perciformes/Scorpaenoidei,Actinopteri,39,bathydemersal,3.62,NA,NA,Longspine thornyhead,Sebastolobus
Sepia officinalis,Sepiidae,habitat_benthic,0.56,289347.5214,2815000,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acetes erythraeus,Sergestidae,habitat_coastal,1.19,1074.69916,7707500,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acetes japonicus,Sergestidae,habitat_coastal,1.19,907066.4941,7725000,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acanthistius brasilianus,Serranidae,habitat_benthic,0.392822614,43325.50972,772500,Perciformes/Serranoidei,Actinopteri,60,benthopelagic,6.93E-04,DD,NA,Argentine seabass,Acanthistius
Aethaloperca rogaa,Serranidae,habitat_reef,0.392822614,161.7523983,10922500,Perciformes/Serranoidei,Actinopteri,60,reef-associated,7.25E-04,LC,NA,Redmouth grouper,Aethaloperca
Caprodon longimanus,Serranidae,habitat_reef,0.392822614,18.2779701,1067500,Perciformes/Serranoidei,Actinopteri,55,reef-associated,6.77E-04,LC,NA,Pink maomao,Caprodon
Centropristis striata,Serranidae,habitat_reef,0.390595485,48177.72024,632500,Perciformes/Serranoidei,Actinopteri,66,reef-associated,3.89,LC,3.75,Black seabass,Centropristis
Cephalopholis fulva,Serranidae,habitat_reef,0.434585638,168.6480031,2405000,Perciformes/Serranoidei,Actinopteri,44,reef-associated,4.05,LC,NA,Coney,Cephalopholis
Cephalopholis hemistiktos,Serranidae,territorial,0.369072173,1047.361541,852500,Perciformes/Serranoidei,Actinopteri,35,reef-associated,4.14,LC,1.10E-05,Yellowfin hind,Cephalopholis
Cephalopholis miniata,Serranidae,territorial,0.453164741,990.2623918,11952500,Perciformes/Serranoidei,Actinopteri,50,reef-associated,4.29,LC,2.14E-04,Coral hind,Cephalopholis
Epinephelus aeneus,Serranidae,migratory,0.173225323,5733.711363,1792500,Perciformes/Serranoidei,Actinopteri,120,demersal,6.94E-04,NT,NA,White grouper,Epinephelus
Epinephelus chlorostigma,Serranidae,habitat_coastal,0.314979131,363.1224699,13235000,Perciformes/Serranoidei,Actinopteri,80,reef-associated,6.89E-04,LC,NA,Brownspotted grouper,Epinephelus
Epinephelus fuscoguttatus,Serranidae,habitat_reef,0.269601411,144.5838132,9805000,Perciformes/Serranoidei,Actinopteri,120,reef-associated,7.15E-04,VU,NA,Brown-marbled grouper,Epinephelus
Epinephelus goreensis,Serranidae,habitat_benthic,0.286760108,641.958191,562500,Perciformes/Serranoidei,Actinopteri,140,demersal,6.81E-04,NT,NA,Dungat grouper,Epinephelus
Epinephelus morrhua,Serranidae,habitat_reef,0.270980627,204.5017043,9242500,Perciformes/Serranoidei,Actinopteri,90,reef-associated,6.86E-04,LC,NA,Comet grouper,Epinephelus
Epinephelus multinotatus,Serranidae,habitat_reef,0.272952283,3257.873463,615000,Perciformes/Serranoidei,Actinopteri,100,reef-associated,6.67E-04,LC,NA,White-blotched grouper,Epinephelus
